date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,code,notes,notes2,finished,pollination_plant,previously.finished
21-Jul,CON7,2,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
01-Aug,CON7,2,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
12-Jul,CON7,2,9,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
21-Jul,CON7,2,9,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
01-Aug,CON7,2,9,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
12-Jul,CON7,2,10,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
21-Jul,CON7,2,10,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
01-Aug,CON7,2,10,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
12-Jul,CON7,2,11,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
21-Jul,CON7,2,11,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
01-Aug,CON7,2,11,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
12-Jul,CON7,2,12,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
21-Jul,CON7,2,12,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
01-Aug,CON7,2,12,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
12-Jul,CON7,2,13,8.5,0,0,0,24,1,none,,,TRUE,TRUE,TRUE
21-Jul,CON7,2,13,8.5,0,0,0,24,1,none,,,TRUE,TRUE,TRUE
01-Aug,CON7,2,13,8.5,0,0,0,24,1,none,,,TRUE,TRUE,TRUE
