"Plot Title: CON-3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10162813, SEN S/N: 10162813, LBL: ground temperature)","Host Connected (LGR S/N: 10162813)","Coupler Attached (LGR S/N: 10162813)","Stopped (LGR S/N: 10162813)","End Of File (LGR S/N: 10162813)"
274,06/13/23 04:30:00  PM,12.594,,,,
275,06/13/23 05:00:00  PM,12.594,,,,
276,06/13/23 05:30:00  PM,12.497,,,,
277,06/13/23 06:00:00  PM,11.722,,,,
278,06/13/23 06:30:00  PM,10.455,,,,
279,06/13/23 07:00:00  PM,10.357,,,,
280,06/13/23 07:30:00  PM,9.866,,,,
281,06/13/23 08:00:00  PM,9.373,,,,
282,06/13/23 08:30:00  PM,8.481,,,,
283,06/13/23 09:00:00  PM,7.481,,,,
284,06/13/23 09:30:00  PM,7.079,,,,
285,06/13/23 10:00:00  PM,7.179,,,,
286,06/13/23 10:30:00  PM,7.179,,,,
287,06/13/23 11:00:00  PM,6.877,,,,
288,06/13/23 11:30:00  PM,6.471,,,,
289,06/14/23 12:00:00  AM,5.962,,,,
290,06/14/23 12:30:00  AM,5.757,,,,
291,06/14/23 01:00:00  AM,6.064,,,,
292,06/14/23 01:30:00  AM,6.166,,,,
293,06/14/23 02:00:00  AM,6.166,,,,
294,06/14/23 02:30:00  AM,5.860,,,,
295,06/14/23 03:00:00  AM,5.552,,,,
296,06/14/23 03:30:00  AM,5.244,,,,
297,06/14/23 04:00:00  AM,5.347,,,,
298,06/14/23 04:30:00  AM,5.450,,,,
299,06/14/23 05:00:00  AM,5.450,,,,
300,06/14/23 05:30:00  AM,5.655,,,,
301,06/14/23 06:00:00  AM,5.757,,,,
302,06/14/23 06:30:00  AM,5.962,,,,
303,06/14/23 07:00:00  AM,6.471,,,,
304,06/14/23 07:30:00  AM,6.573,,,,
305,06/14/23 08:00:00  AM,6.674,,,,
306,06/14/23 08:30:00  AM,7.682,,,,
307,06/14/23 09:00:00  AM,7.682,,,,
308,06/14/23 09:30:00  AM,14.804,,,,
309,06/14/23 10:00:00  AM,10.553,,,,
310,06/14/23 10:30:00  AM,12.980,,,,
311,06/14/23 11:00:00  AM,19.853,,,,
312,06/14/23 11:30:00  AM,15.282,,,,
313,06/14/23 12:00:00  PM,12.110,,,,
314,06/14/23 12:30:00  PM,14.230,,,,
315,06/14/23 01:00:00  PM,15.091,,,,
316,06/14/23 01:30:00  PM,14.038,,,,
317,06/14/23 02:00:00  PM,13.750,,,,
318,06/14/23 02:30:00  PM,14.613,,,,
319,06/14/23 03:00:00  PM,15.569,,,,
320,06/14/23 03:30:00  PM,14.230,,,,
321,06/14/23 04:00:00  PM,18.236,,,,
322,06/14/23 04:30:00  PM,13.365,,,,
323,06/14/23 05:00:00  PM,12.497,,,,
324,06/14/23 05:30:00  PM,12.304,,,,
325,06/14/23 06:00:00  PM,10.748,,,,
326,06/14/23 06:30:00  PM,10.259,,,,
327,06/14/23 07:00:00  PM,10.651,,,,
328,06/14/23 07:30:00  PM,10.651,,,,
329,06/14/23 08:00:00  PM,9.472,,,,
330,06/14/23 08:30:00  PM,9.077,,,,
331,06/14/23 09:00:00  PM,8.382,,,,
332,06/14/23 09:30:00  PM,7.983,,,,
333,06/14/23 10:00:00  PM,7.682,,,,
334,06/14/23 10:30:00  PM,7.682,,,,
335,06/14/23 11:00:00  PM,7.582,,,,
336,06/14/23 11:30:00  PM,7.582,,,,
337,06/15/23 12:00:00  AM,7.481,,,,
338,06/15/23 12:30:00  AM,7.381,,,,
339,06/15/23 01:00:00  AM,7.381,,,,
340,06/15/23 01:30:00  AM,7.381,,,,
341,06/15/23 02:00:00  AM,7.381,,,,
342,06/15/23 02:30:00  AM,7.079,,,,
343,06/15/23 03:00:00  AM,7.079,,,,
344,06/15/23 03:30:00  AM,6.775,,,,
345,06/15/23 04:00:00  AM,6.471,,,,
346,06/15/23 04:30:00  AM,6.064,,,,
347,06/15/23 05:00:00  AM,6.166,,,,
348,06/15/23 05:30:00  AM,6.775,,,,
349,06/15/23 06:00:00  AM,7.280,,,,
350,06/15/23 06:30:00  AM,7.582,,,,
351,06/15/23 07:00:00  AM,8.282,,,,
352,06/15/23 07:30:00  AM,9.077,,,,
353,06/15/23 08:00:00  AM,9.768,,,,
354,06/15/23 08:30:00  AM,10.063,,,,
355,06/15/23 09:00:00  AM,11.528,,,,
356,06/15/23 09:30:00  AM,13.076,,,,
357,06/15/23 10:00:00  AM,26.097,,,,
358,06/15/23 10:30:00  AM,24.448,,,,
359,06/15/23 11:00:00  AM,23.388,,,,
360,06/15/23 11:30:00  AM,21.760,,,,
361,06/15/23 12:00:00  PM,15.760,,,,
