"Plot Title: CON-4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163053, SEN S/N: 10163053, LBL: ground temp)","Good Battery (LGR S/N: 10163053)","Coupler Attached (LGR S/N: 10163053)","Host Connected (LGR S/N: 10163053)","Stopped (LGR S/N: 10163053)","End Of File (LGR S/N: 10163053)"
200,06/12/23 03:30:00  AM,6.166,,,,,
201,06/12/23 04:00:00  AM,6.573,,,,,
202,06/12/23 04:30:00  AM,6.978,,,,,
203,06/12/23 05:00:00  AM,6.674,,,,,
204,06/12/23 05:30:00  AM,6.370,,,,,
205,06/12/23 06:00:00  AM,5.962,,,,,
206,06/12/23 06:30:00  AM,5.962,,,,,
207,06/12/23 07:00:00  AM,6.978,,,,,
208,06/12/23 07:30:00  AM,8.382,,,,,
209,06/12/23 08:00:00  AM,9.768,,,,,
210,06/12/23 08:30:00  AM,11.041,,,,,
211,06/12/23 09:00:00  AM,14.230,,,,,
212,06/12/23 09:30:00  AM,14.613,,,,,
213,06/12/23 10:00:00  AM,14.996,,,,,
214,06/12/23 10:30:00  AM,15.760,,,,,
215,06/12/23 11:00:00  AM,16.427,,,,,
216,06/12/23 11:30:00  AM,17.379,,,,,
217,06/12/23 12:00:00  PM,18.045,,,,,
218,06/12/23 12:30:00  PM,24.448,,,,,
219,06/12/23 01:00:00  PM,44.828,,,,,
220,06/12/23 01:30:00  PM,48.955,,,,,
221,06/12/23 02:00:00  PM,42.998,,,,,
222,06/12/23 02:30:00  PM,48.821,,,,,
223,06/12/23 03:00:00  PM,38.157,,,,,
224,06/12/23 03:30:00  PM,38.826,,,,,
225,06/12/23 04:00:00  PM,25.708,,,,,
226,06/12/23 04:30:00  PM,25.125,,,,,
227,06/12/23 05:00:00  PM,24.931,,,,,
228,06/12/23 05:30:00  PM,22.908,,,,,
229,06/12/23 06:00:00  PM,22.525,,,,,
230,06/12/23 06:30:00  PM,21.473,,,,,
231,06/12/23 07:00:00  PM,19.758,,,,,
232,06/12/23 07:30:00  PM,20.138,,,,,
233,06/12/23 08:00:00  PM,18.996,,,,,
234,06/12/23 08:30:00  PM,17.475,,,,,
235,06/12/23 09:00:00  PM,16.237,,,,,
236,06/12/23 09:30:00  PM,14.804,,,,,
237,06/12/23 10:00:00  PM,13.846,,,,,
238,06/12/23 10:30:00  PM,13.076,,,,,
239,06/12/23 11:00:00  PM,12.497,,,,,
240,06/12/23 11:30:00  PM,12.013,,,,,
241,06/13/23 12:00:00  AM,11.625,,,,,
242,06/13/23 12:30:00  AM,11.139,,,,,
